master_category;category
gift_accessories;luggage_accessories
gift_accessories;watches_gifts
industy_commerce;agro_industry_and_commerce
industy_commerce;industry_commerce_and_business
electronics;electronics
electronics;computers
electronics;computers_accessories
electronics;tablets_printing_image
electronics;cine_photo
electronics;signaling_and_security
electronics;audio
supplies;party_supplies
supplies;christmas_supplies
selfcare;health_beauty
selfcare;perfumery
fashion;fashion_shoes
fashion;fashion_underwear_beach
fashion;fashion_sport
fashion;fashion_bags_accessories
fashion;fashio_female_clothing
fashion;fashion_childrens_clothes
fashion;fashion_male_clothing
houseware;home_appliances
houseware;small_appliances
houseware;housewares
houseware;home_confort
houseware;small_appliances_home_oven_and_coffee
houseware;home_appliances_2
houseware;air_conditioning
houseware;home_comfort_2
houseware;bed_bath_table
fun_stuff;dvds_blu_ray
fun_stuff;toys
fun_stuff;consoles_games
fun_stuff;cds_dvds_musicals
construction_tools;costruction_tools_tools
construction_tools;construction_tools_construction
construction_tools;costruction_tools_garden
construction_tools;construction_tools_safety
construction_tools;construction_tools_lights
construction_tools;home_construction
furniture;furniture_mattress_and_upholstery
furniture;kitchen_dining_laundry_garden_furniture
furniture;furniture_bedroom
furniture;furniture_living_room
furniture;furniture_decor
furniture;office_furniture
arts_and_craftmanship;art
arts_and_craftmanship;arts_and_craftmanship
food_drink;food_drink
food_drink;food
food_drink;drinks
books;books_imported
books;books_technical
books;books_general_interest
baby_needs;diapers_and_hygiene
baby_needs;baby
gardening;garden_tools
gardening;flowers
music;music
music;musical_instruments
services;fixed_telephony
services;security_and_services
services;telephony
other;market_place
other;la_cuisine
other;pet_shop
other;sports_leisure
other;auto
other;cool_stuff
other;stationery
