date key;full date;day of week;date;day name;day abbrev;weekday flag;week num in year;month;month name;month abbrev;quarter;year;yearmo
20140101;41640;3;1;Wednesday;Wed;Weekday;1;1;January;Jan;1;2014;201401
20140102;41641;4;2;Thursday;Thu;Weekday;1;1;January;Jan;1;2014;201401
20140103;41642;5;3;Friday;Fri;Weekday;1;1;January;Jan;1;2014;201401
20140104;41643;6;4;Saturday;Sat;Weekend;1;1;January;Jan;1;2014;201401
20140105;41644;7;5;Sunday;Sun;Weekend;1;1;January;Jan;1;2014;201401
20140106;41645;1;6;Monday;Mon;Weekday;2;1;January;Jan;1;2014;201401
20140107;41646;2;7;Tuesday;Tue;Weekday;2;1;January;Jan;1;2014;201401
20140108;41647;3;8;Wednesday;Wed;Weekday;2;1;January;Jan;1;2014;201401
20140109;41648;4;9;Thursday;Thu;Weekday;2;1;January;Jan;1;2014;201401
20140110;41649;5;10;Friday;Fri;Weekday;2;1;January;Jan;1;2014;201401
20140111;41650;6;11;Saturday;Sat;Weekend;2;1;January;Jan;1;2014;201401
20140112;41651;7;12;Sunday;Sun;Weekend;2;1;January;Jan;1;2014;201401
20140113;41652;1;13;Monday;Mon;Weekday;3;1;January;Jan;1;2014;201401
20140114;41653;2;14;Tuesday;Tue;Weekday;3;1;January;Jan;1;2014;201401
20140115;41654;3;15;Wednesday;Wed;Weekday;3;1;January;Jan;1;2014;201401
20140116;41655;4;16;Thursday;Thu;Weekday;3;1;January;Jan;1;2014;201401
20140117;41656;5;17;Friday;Fri;Weekday;3;1;January;Jan;1;2014;201401
20140118;41657;6;18;Saturday;Sat;Weekend;3;1;January;Jan;1;2014;201401
20140119;41658;7;19;Sunday;Sun;Weekend;3;1;January;Jan;1;2014;201401
20140120;41659;1;20;Monday;Mon;Weekday;4;1;January;Jan;1;2014;201401
20140121;41660;2;21;Tuesday;Tue;Weekday;4;1;January;Jan;1;2014;201401
20140122;41661;3;22;Wednesday;Wed;Weekday;4;1;January;Jan;1;2014;201401
20140123;41662;4;23;Thursday;Thu;Weekday;4;1;January;Jan;1;2014;201401
20140124;41663;5;24;Friday;Fri;Weekday;4;1;January;Jan;1;2014;201401
20140125;41664;6;25;Saturday;Sat;Weekend;4;1;January;Jan;1;2014;201401
20140126;41665;7;26;Sunday;Sun;Weekend;4;1;January;Jan;1;2014;201401
20140127;41666;1;27;Monday;Mon;Weekday;5;1;January;Jan;1;2014;201401
20140128;41667;2;28;Tuesday;Tue;Weekday;5;1;January;Jan;1;2014;201401
