provinsi,pdrb
Aceh,166377
Sumatera Utara,811283
Sumatera Barat,242119
Riau,729167
Jambi,206846
Sumatera Selatan,458430
Bengkulu,73337
Lampung,354632
Kepulauan Bangka Belitung,75534
Kepulauan Riau,254253
DKI Jakarta,2772381
Jawa Barat,2088039
Jawa Tengah,1348600
DI Yogyakarta,138389
Jawa Timur,2299465
Banten,626437
Bali,224214
Nusa Tenggara Barat,133522
Nusa Tenggara Timur,106506
Kalimantan Barat,214002
Kalimantan Tengah,152191
Kalimantan Selatan,179151
Kalimantan Timur,607321
Kalimantan Utara,100544
Sulawesi Utara,132299
Sulawesi Tengah,197441
Sulawesi Selatan,504479
Sulawesi Tenggara,130184
Gorontalo,41726
Sulawesi Barat,45909
Maluku,46264
Maluku Utara,42142
Papua Barat,83566
Papua,198929
