"Pulau","Provinsi","Singkatan ISO[3]","Ibu kota","Diresmikan sebagai Provinsi","Populasi(Proyeksi BPS 2020)","Luas Total (km²)","Populasi / Luas (jiwa / km²)","APBD 2020 (miliar rupiah)","PDRB 2020 (triliun rupiah)","PDRB per kapita 2020 (juta rupiah)","IPM 2020","Agama (approx.) 2020"
"Sumatra","Aceh https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Aceh.png/23px-Flag_of_Aceh.png","AC","Banda Aceh","7 Desember 1959","5.371.532","57.956,00","91[4]","17,279,52","164,21","30,70","71.99[5]","Islam 98%"
"Sumatra","Sumatera Utara https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_North_Sumatra.svg/22px-Flag_of_North_Sumatra.svg.png","SU","Medan","29 November 1956","15.851.851","72.981,23","189","8.565,53","523,77","38,05","68,68","Islam 64%"
"Sumatra","Sumatera Barat https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Flag_of_West_Sumatra.png/23px-Flag_of_West_Sumatra.png","SB","Padang","9 Agustus 1957","5.131.900","42.012,89","121","3.887,84","167,04","32,55","69,36","Islam 90%"
"Sumatra","Riau https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Riau.svg/22px-Flag_of_Riau.svg.png","RI","Pekanbaru","9 Agustus 1957","6.188.442","87.023,66","66","9.425,83","679,69","109,83","70,33","Islam 91%"
"Sumatra","Kepulauan Riau https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Riau_Islands.png/23px-Flag_of_Riau_Islands.png","KR","Tanjung Pinang","25 Oktober 2002","1.917.415","8.201,72","237","3.944,69","182,92","95,40","73,40","Islam 60%"
"Sumatra","Jambi https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Jambi.svg/22px-Flag_of_Jambi.svg.png","JA","Jambi","9 Agustus 1957","3.344.400","50.058,16","63","3.548,66","153,86","46,00","68,24","Islam 65%"
"Sumatra","Bengkulu https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Bengkulu.png/22px-Flag_of_Bengkulu.png","BE","Bengkulu","18 November 1968","1.844.800","19.919,33","93","2.012,91","45,24","24,52","68,06","Islam 70%"
"Sumatra","Sumatera Selatan https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_South_Sumatra_%28vectorised%29.svg/22px-Flag_of_South_Sumatra_%28vectorised%29.svg.png","SS","Palembang","14 Agustus 1950","7.941.500","91.592,43","93","7.697,99","308,41","38,84","66,75","Islam 95%"
"Sumatra","Kepulauan Bangka Belitung https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Flag_of_Bangka-Belitung.svg/22px-Flag_of_Bangka-Belitung.svg.png","BB","Pangkal Pinang","21 November 2000","1.343.900","16.424,06","82","2.276,18","56,39","41,96","68,27","Islam 63%"
"Sumatra","Lampung https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Lampung.svg/22px-Flag_of_Lampung.svg.png","LA","Bandar Lampung","18 Maret 1964","8.026.191","34.623,80","227","4.350,25","231,01","28,78","66,42","Islam 68%"
