time_id,time,hour,minute,second
0,1970-01-01 00:00:00,0,0,0
1,1970-01-01 00:00:01,0,0,1
2,1970-01-01 00:00:02,0,0,2
3,1970-01-01 00:00:03,0,0,3
4,1970-01-01 00:00:04,0,0,4
5,1970-01-01 00:00:05,0,0,5
6,1970-01-01 00:00:06,0,0,6
7,1970-01-01 00:00:07,0,0,7
8,1970-01-01 00:00:08,0,0,8
9,1970-01-01 00:00:09,0,0,9
10,1970-01-01 00:00:10,0,0,10
11,1970-01-01 00:00:11,0,0,11
12,1970-01-01 00:00:12,0,0,12
13,1970-01-01 00:00:13,0,0,13
14,1970-01-01 00:00:14,0,0,14
15,1970-01-01 00:00:15,0,0,15
16,1970-01-01 00:00:16,0,0,16
17,1970-01-01 00:00:17,0,0,17
18,1970-01-01 00:00:18,0,0,18
19,1970-01-01 00:00:19,0,0,19
20,1970-01-01 00:00:20,0,0,20
21,1970-01-01 00:00:21,0,0,21
22,1970-01-01 00:00:22,0,0,22
23,1970-01-01 00:00:23,0,0,23
24,1970-01-01 00:00:24,0,0,24
25,1970-01-01 00:00:25,0,0,25
26,1970-01-01 00:00:26,0,0,26
27,1970-01-01 00:00:27,0,0,27
28,1970-01-01 00:00:28,0,0,28
29,1970-01-01 00:00:29,0,0,29
30,1970-01-01 00:00:30,0,0,30
31,1970-01-01 00:00:31,0,0,31
32,1970-01-01 00:00:32,0,0,32
33,1970-01-01 00:00:33,0,0,33
34,1970-01-01 00:00:34,0,0,34
35,1970-01-01 00:00:35,0,0,35
36,1970-01-01 00:00:36,0,0,36
37,1970-01-01 00:00:37,0,0,37
38,1970-01-01 00:00:38,0,0,38
39,1970-01-01 00:00:39,0,0,39
40,1970-01-01 00:00:40,0,0,40
41,1970-01-01 00:00:41,0,0,41
42,1970-01-01 00:00:42,0,0,42
43,1970-01-01 00:00:43,0,0,43
44,1970-01-01 00:00:44,0,0,44
45,1970-01-01 00:00:45,0,0,45
46,1970-01-01 00:00:46,0,0,46
47,1970-01-01 00:00:47,0,0,47
48,1970-01-01 00:00:48,0,0,48
49,1970-01-01 00:00:49,0,0,49
50,1970-01-01 00:00:50,0,0,50
51,1970-01-01 00:00:51,0,0,51
52,1970-01-01 00:00:52,0,0,52
53,1970-01-01 00:00:53,0,0,53
54,1970-01-01 00:00:54,0,0,54
55,1970-01-01 00:00:55,0,0,55
56,1970-01-01 00:00:56,0,0,56
57,1970-01-01 00:00:57,0,0,57
58,1970-01-01 00:00:58,0,0,58
59,1970-01-01 00:00:59,0,0,59
60,1970-01-01 00:01:00,0,1,0
61,1970-01-01 00:01:01,0,1,1
62,1970-01-01 00:01:02,0,1,2
63,1970-01-01 00:01:03,0,1,3
64,1970-01-01 00:01:04,0,1,4
65,1970-01-01 00:01:05,0,1,5
66,1970-01-01 00:01:06,0,1,6
67,1970-01-01 00:01:07,0,1,7
68,1970-01-01 00:01:08,0,1,8
69,1970-01-01 00:01:09,0,1,9
70,1970-01-01 00:01:10,0,1,10
71,1970-01-01 00:01:11,0,1,11
72,1970-01-01 00:01:12,0,1,12
73,1970-01-01 00:01:13,0,1,13
74,1970-01-01 00:01:14,0,1,14
75,1970-01-01 00:01:15,0,1,15
76,1970-01-01 00:01:16,0,1,16
77,1970-01-01 00:01:17,0,1,17
78,1970-01-01 00:01:18,0,1,18
79,1970-01-01 00:01:19,0,1,19
80,1970-01-01 00:01:20,0,1,20
81,1970-01-01 00:01:21,0,1,21
82,1970-01-01 00:01:22,0,1,22
83,1970-01-01 00:01:23,0,1,23
84,1970-01-01 00:01:24,0,1,24
85,1970-01-01 00:01:25,0,1,25
86,1970-01-01 00:01:26,0,1,26
87,1970-01-01 00:01:27,0,1,27
88,1970-01-01 00:01:28,0,1,28
89,1970-01-01 00:01:29,0,1,29
90,1970-01-01 00:01:30,0,1,30
91,1970-01-01 00:01:31,0,1,31
92,1970-01-01 00:01:32,0,1,32
93,1970-01-01 00:01:33,0,1,33
94,1970-01-01 00:01:34,0,1,34
95,1970-01-01 00:01:35,0,1,35
96,1970-01-01 00:01:36,0,1,36
97,1970-01-01 00:01:37,0,1,37
98,1970-01-01 00:01:38,0,1,38
99,1970-01-01 00:01:39,0,1,39
100,1970-01-01 00:01:40,0,1,40
101,1970-01-01 00:01:41,0,1,41
102,1970-01-01 00:01:42,0,1,42
103,1970-01-01 00:01:43,0,1,43
104,1970-01-01 00:01:44,0,1,44
105,1970-01-01 00:01:45,0,1,45
106,1970-01-01 00:01:46,0,1,46
107,1970-01-01 00:01:47,0,1,47
108,1970-01-01 00:01:48,0,1,48
109,1970-01-01 00:01:49,0,1,49
110,1970-01-01 00:01:50,0,1,50
111,1970-01-01 00:01:51,0,1,51
112,1970-01-01 00:01:52,0,1,52
113,1970-01-01 00:01:53,0,1,53
114,1970-01-01 00:01:54,0,1,54
115,1970-01-01 00:01:55,0,1,55
116,1970-01-01 00:01:56,0,1,56
117,1970-01-01 00:01:57,0,1,57
118,1970-01-01 00:01:58,0,1,58
119,1970-01-01 00:01:59,0,1,59
120,1970-01-01 00:02:00,0,2,0
121,1970-01-01 00:02:01,0,2,1
122,1970-01-01 00:02:02,0,2,2
123,1970-01-01 00:02:03,0,2,3
124,1970-01-01 00:02:04,0,2,4
125,1970-01-01 00:02:05,0,2,5
126,1970-01-01 00:02:06,0,2,6
127,1970-01-01 00:02:07,0,2,7
128,1970-01-01 00:02:08,0,2,8
129,1970-01-01 00:02:09,0,2,9
130,1970-01-01 00:02:10,0,2,10
131,1970-01-01 00:02:11,0,2,11
132,1970-01-01 00:02:12,0,2,12
133,1970-01-01 00:02:13,0,2,13
134,1970-01-01 00:02:14,0,2,14
135,1970-01-01 00:02:15,0,2,15
136,1970-01-01 00:02:16,0,2,16
137,1970-01-01 00:02:17,0,2,17
138,1970-01-01 00:02:18,0,2,18
139,1970-01-01 00:02:19,0,2,19
140,1970-01-01 00:02:20,0,2,20
141,1970-01-01 00:02:21,0,2,21
142,1970-01-01 00:02:22,0,2,22
143,1970-01-01 00:02:23,0,2,23
144,1970-01-01 00:02:24,0,2,24
145,1970-01-01 00:02:25,0,2,25
146,1970-01-01 00:02:26,0,2,26
147,1970-01-01 00:02:27,0,2,27
148,1970-01-01 00:02:28,0,2,28
149,1970-01-01 00:02:29,0,2,29
150,1970-01-01 00:02:30,0,2,30
151,1970-01-01 00:02:31,0,2,31
152,1970-01-01 00:02:32,0,2,32
153,1970-01-01 00:02:33,0,2,33
154,1970-01-01 00:02:34,0,2,34
155,1970-01-01 00:02:35,0,2,35
156,1970-01-01 00:02:36,0,2,36
157,1970-01-01 00:02:37,0,2,37
158,1970-01-01 00:02:38,0,2,38
159,1970-01-01 00:02:39,0,2,39
160,1970-01-01 00:02:40,0,2,40
161,1970-01-01 00:02:41,0,2,41
162,1970-01-01 00:02:42,0,2,42
163,1970-01-01 00:02:43,0,2,43
164,1970-01-01 00:02:44,0,2,44
165,1970-01-01 00:02:45,0,2,45
166,1970-01-01 00:02:46,0,2,46
167,1970-01-01 00:02:47,0,2,47
168,1970-01-01 00:02:48,0,2,48
169,1970-01-01 00:02:49,0,2,49
170,1970-01-01 00:02:50,0,2,50
171,1970-01-01 00:02:51,0,2,51
172,1970-01-01 00:02:52,0,2,52
173,1970-01-01 00:02:53,0,2,53
174,1970-01-01 00:02:54,0,2,54
175,1970-01-01 00:02:55,0,2,55
176,1970-01-01 00:02:56,0,2,56
177,1970-01-01 00:02:57,0,2,57
178,1970-01-01 00:02:58,0,2,58
179,1970-01-01 00:02:59,0,2,59
180,1970-01-01 00:03:00,0,3,0
181,1970-01-01 00:03:01,0,3,1
182,1970-01-01 00:03:02,0,3,2
183,1970-01-01 00:03:03,0,3,3
184,1970-01-01 00:03:04,0,3,4
185,1970-01-01 00:03:05,0,3,5
186,1970-01-01 00:03:06,0,3,6
187,1970-01-01 00:03:07,0,3,7
188,1970-01-01 00:03:08,0,3,8
189,1970-01-01 00:03:09,0,3,9
190,1970-01-01 00:03:10,0,3,10
191,1970-01-01 00:03:11,0,3,11
192,1970-01-01 00:03:12,0,3,12
193,1970-01-01 00:03:13,0,3,13
194,1970-01-01 00:03:14,0,3,14
195,1970-01-01 00:03:15,0,3,15
196,1970-01-01 00:03:16,0,3,16
197,1970-01-01 00:03:17,0,3,17
198,1970-01-01 00:03:18,0,3,18
199,1970-01-01 00:03:19,0,3,19
200,1970-01-01 00:03:20,0,3,20
201,1970-01-01 00:03:21,0,3,21
202,1970-01-01 00:03:22,0,3,22
203,1970-01-01 00:03:23,0,3,23
204,1970-01-01 00:03:24,0,3,24
205,1970-01-01 00:03:25,0,3,25
206,1970-01-01 00:03:26,0,3,26
207,1970-01-01 00:03:27,0,3,27
208,1970-01-01 00:03:28,0,3,28
209,1970-01-01 00:03:29,0,3,29
210,1970-01-01 00:03:30,0,3,30
211,1970-01-01 00:03:31,0,3,31
212,1970-01-01 00:03:32,0,3,32
213,1970-01-01 00:03:33,0,3,33
214,1970-01-01 00:03:34,0,3,34
215,1970-01-01 00:03:35,0,3,35
216,1970-01-01 00:03:36,0,3,36
217,1970-01-01 00:03:37,0,3,37
218,1970-01-01 00:03:38,0,3,38
219,1970-01-01 00:03:39,0,3,39
220,1970-01-01 00:03:40,0,3,40
221,1970-01-01 00:03:41,0,3,41
222,1970-01-01 00:03:42,0,3,42
223,1970-01-01 00:03:43,0,3,43
224,1970-01-01 00:03:44,0,3,44
225,1970-01-01 00:03:45,0,3,45
226,1970-01-01 00:03:46,0,3,46
227,1970-01-01 00:03:47,0,3,47
228,1970-01-01 00:03:48,0,3,48
229,1970-01-01 00:03:49,0,3,49
230,1970-01-01 00:03:50,0,3,50
231,1970-01-01 00:03:51,0,3,51
232,1970-01-01 00:03:52,0,3,52
233,1970-01-01 00:03:53,0,3,53
234,1970-01-01 00:03:54,0,3,54
235,1970-01-01 00:03:55,0,3,55
236,1970-01-01 00:03:56,0,3,56
237,1970-01-01 00:03:57,0,3,57
238,1970-01-01 00:03:58,0,3,58
239,1970-01-01 00:03:59,0,3,59
240,1970-01-01 00:04:00,0,4,0
241,1970-01-01 00:04:01,0,4,1
242,1970-01-01 00:04:02,0,4,2
243,1970-01-01 00:04:03,0,4,3
244,1970-01-01 00:04:04,0,4,4
245,1970-01-01 00:04:05,0,4,5
246,1970-01-01 00:04:06,0,4,6
247,1970-01-01 00:04:07,0,4,7
248,1970-01-01 00:04:08,0,4,8
249,1970-01-01 00:04:09,0,4,9
250,1970-01-01 00:04:10,0,4,10
251,1970-01-01 00:04:11,0,4,11
252,1970-01-01 00:04:12,0,4,12
253,1970-01-01 00:04:13,0,4,13
254,1970-01-01 00:04:14,0,4,14
255,1970-01-01 00:04:15,0,4,15
256,1970-01-01 00:04:16,0,4,16
257,1970-01-01 00:04:17,0,4,17
258,1970-01-01 00:04:18,0,4,18
259,1970-01-01 00:04:19,0,4,19
